iso3c,country,SP.POP.TOTL,SL.AGR.EMPL.ZS,SL.IND.EMPL.ZS,SL.SRV.EMPL.ZS,asalariados,patrones,tcp,familiares,rel_salariales,rel_no_salariales
CHI,Channel Islands,159022.18181818182,4.698181845925071,27.016091086647744,68.28581862016159,84.92627299915661,4.7531818043101906,9.055999907580304,1.2645454623482415,89.6794548034668,10.320545369928546
CHL,Chile,17059831.09090909,10.940090959722335,23.366727482188836,65.69327267733486,73.11781796542081,3.768272703344171,21.58790914578873,1.5260000120509751,76.88609066876498,23.113909157839704
CHN,China,1337630909.090909,36.407271992076524,28.044181823730465,35.54863617636943,46.264454234730124,1.3877272822640163,33.40118219635702,18.94663628664884,47.65218151699414,52.34781848300586
CIV,Cote d'Ivoire,20637773.363636363,46.96772731434214,11.56872731989081,41.46354536576703,22.339181553233754,0.9978181828152054,57.55345438285307,19.109545360911973,23.33699973604896,76.66299974376504
CMR,Cameroon,20410942.727272727,54.662727355957024,12.358090920881791,32.97890923239967,20.324636285955254,2.674636363983154,57.173636046322926,19.827090610157356,22.99927264993841,77.00072665648028
COD,"Congo, Dem. Rep.",64944358.54545455,69.72572673450816,8.73563627763228,21.538272510875355,14.825090928511182,1.7836363640698518,61.038363966074854,22.352999947287827,16.608727292581033,83.39136391336268
COG,"Congo, Rep.",4254137.7272727275,37.56263663552025,23.19500021501021,39.24254504117099,22.376454786820844,1.120818181471391,70.81581896001643,5.686909112063319,23.497272968292236,76.50272807207975
COL,Colombia,45140086.81818182,18.17618196660821,19.800272508101028,62.023454492742374,48.096636338667416,4.835909106514671,42.51772720163521,4.549727353182703,52.932545445182086,47.067454554817914
COM,Comoros,691691.2727272727,53.66281856190076,13.727727196433328,32.60936390269886,30.470999631014728,4.967000050978227,51.23554546182805,13.326454509388313,35.437999681992956,64.56199997121637
CPV,Cabo Verde,493298.1818181818,16.443454742431644,21.924545288085938,61.63181825117633,58.45427287708631,3.3565454266288035,27.34972713210365,10.839454564181242,61.810818303715116,38.18918169628489
CRI,Costa Rica,4573016.181818182,12.075818235223952,19.886818105524238,68.03708995472302,74.25163685191762,5.144090955907648,18.49545436555689,2.1088181734085083,79.39572780782527,20.604272538965397
CUB,Cuba,11261058,19.144727013327863,17.69181823730469,63.163363023237764,83.4377281882546,2.1888181621378138,12.978909156539203,1.394545446742665,85.6265463503924,14.373454603281868
CYP,Cyprus,1104195.9090909092,3.964636347510598,20.53245457735928,75.50300043279474,81.06818181818183,4.9037273146889415,12.081363515420405,1.9467272650111802,85.97190913287076,14.028090780431585
CZE,Czech Republic,10422222.636363637,3.223000006242231,38.80981861461294,57.96699974753639,82.8542737093839,3.6176363554867836,12.883727512576371,0.6443636363202891,86.47191006487068,13.52809114889666
DEU,Germany,81537918.27272727,1.771636345169761,28.7076363997026,69.52045579390091,88.41300062699753,4.78145456314087,6.097909046844998,0.7076363699002695,93.1944551901384,6.805545416745267
DJI,Djibouti,844130.8181818182,40.32136362249201,11.683454600247455,47.995181690562845,50.547908782958984,2.314363631335172,37.6090914336118,9.528636152094059,52.862272414294154,47.13772758570586
